,artist_name,track_name,track_id,popularity
421,Arcade Player,Believe It (16-Bit PARTYNEXTDOOR & Rihanna Emulation),3Bt7iyR1JmMzsCzo9HBQYm,0
422,8-Bit Arcade,Believe It (8-Bit PARTYNEXTDOOR & Rihanna Emulation),1F871dQorQaG1QdLyQKeU4,2
423,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,94
424,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,95
425,Bad Bunny,Si Veo a Tu Mamá,41wtwzCZkXwpnakmwJ239F,92
426,Bad Bunny,La Difícil,6NfrH0ANGmgBXyxgV2PeXt,93
427,Bad Bunny,La Santa,69vlMrzHwATKzupwNcUPyK,90
428,J Balvin,LA CANCIÓN,6Arg7acdyODBaueMKZsPW5,7
429,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,87
431,Bad Bunny,Pero Ya No,75pQqzwgCjUOSSy5CpmAjy,86
432,Bad Bunny,Ignorantes,38RIEav39FGi86jppxO0du,87
433,Luke Bryan,Play It Again,03fT3OHB9KyMtGMt2zwqCT,76
434,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,75
435,Luke Bryan,Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo,73
436,Luke Bryan,What She Wants Tonight,5M3v6frAiTyqenNAeQVcxC,73
437,Luke Bryan,That's My Kind Of Night,5HGibWoxnkYSkl6mHmAlOE,71
438,Florida Georgia Line,This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,70
439,Luke Bryan,One Margarita,6NhS5LwYbJ6xD7BGvlWRJO,70
440,Luke Bryan,"Sunrise, Sunburn, Sunset",53yTYusPQJ1AApL1hi0Dnc,70
441,Luke Bryan,Most People Are Good,79LAFAkR1ATb4iIQvZuCL0,68
442,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day",0dbzWSYpMcRtwjI1S7Pkql,68
463,DJ D MAN Xtreme,Tusa (Latin) Originally Performed by Karol G & Nicki Minaj,2RooXoHfcz67nnWv0q5vAj,0
464,KAROL G,Tusa,0MvxgmXHMXh70GpnR0mKkT,55
466,8-Bit Arcade,Tusa (8-Bit Karol G & Nicki Minaj Emulation),6Wna1oIC9IvMjt8b5pnkPO,5
467,Arcade Player,Tusa (16-Bit Karol G & Nicki Minaj Emulation),2o4I3OB84vagkpn2uTFlLi,2
468,Vox Freaks,TUSA (Originally Performed by KAROL G and Nicki Minaj) [Instrumental],6af71u0pGR3ztfOdtQDM9U,9
469,Karaoke Pro,Tusa (Originally Performed by Karol G & Nicki Minaj) - Instrumental Version,2m8xp1aYIQwfbtasOkUstq,6
